,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,W/L
11,D'Andre Swift,DET,4,3,18,0,1,-8,-2.7,26,8.7,-0.8,0,,1,25.0,0,83.3,L
12,Kalif Raymond,DET,2,2,19,0,1,8,4.0,11,5.5,4.0,0,,0,0.0,0,106.2,L
13,Shane Zylstra,DET,2,2,18,0,1,17,8.5,1,0.5,8.5,0,,0,0.0,0,104.2,L
14,Penei Sewell,DET,1,1,9,0,1,3,3.0,6,6.0,3.0,0,,0,0.0,0,104.2,L
15,Justin Jackson,DET,1,1,12,0,1,4,4.0,8,8.0,4.0,0,,0,0.0,0,116.7,L
16,Jameson Williams,DET,2,1,41,1,1,36,36.0,5,5.0,15.0,0,,1,50.0,0,135.4,L
17,Jamaal Williams,DET,1,0,0,0,,0,,0,,-1.0,0,,0,0.0,0,39.6,L
18,Brock Wright,DET,1,0,0,0,,0,,0,,-1.0,0,,1,100.0,0,39.6,L
0,T.J. Hockenson,MIN,12,7,59,0,3,46,6.6,13,1.9,8.3,0,,1,8.3,1,36.5,L
1,K.J. Osborn,MIN,7,7,59,1,4,32,4.6,27,3.9,4.6,0,,0,0.0,0,141.4,L
2,Jalen Nailor,MIN,3,3,89,1,3,58,19.3,31,10.3,19.3,1,3.0,0,0.0,0,158.3,L
3,Dalvin Cook,MIN,3,2,17,0,1,-4,-2.0,21,10.5,-0.3,0,,1,33.3,0,81.2,L
4,Justin Jefferson,MIN,5,1,15,0,1,14,14.0,1,1.0,12.0,0,,0,0.0,1,0.0,L
5,Alexander Mattison,MIN,1,1,7,0,0,-5,-5.0,12,12.0,-5.0,0,,0,0.0,0,95.8,L
6,Adam Thielen,MIN,4,1,16,0,1,14,14.0,2,2.0,14.0,0,,0,0.0,1,4.2,L
7,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,L
8,Allen Lazard,GNB,6,5,59,0,4,50,10.0,9,1.8,8.8,0,,0,0.0,0,107.6,L
9,Romeo Doubs,GNB,4,3,20,0,2,5,1.7,15,5.0,3.0,0,,0,0.0,0,85.4,L
10,Robert Tonyan,GNB,4,3,52,1,2,29,9.7,23,7.7,9.8,0,,0,0.0,0,156.2,L
11,Randall Cobb,GNB,2,2,20,0,1,10,5.0,10,5.0,5.0,0,,0,0.0,0,108.3,L
12,Aaron Jones,GNB,3,2,2,0,0,-6,-3.0,8,4.0,6.3,0,,1,33.3,0,70.1,L
13,Josiah Deguara,GNB,1,1,4,0,,2,2.0,2,2.0,2.0,0,,0,0.0,0,83.3,L
14,Christian Watson,GNB,5,1,11,0,1,5,5.0,6,6.0,26.2,1,1.0,1,20.0,0,39.6,L
15,AJ Dillon,GNB,1,0,0,0,0,0,,0,,4.0,0,,0,0.0,0,39.6,L
0,Justin Jefferson,MIN,8,6,107,0,3,37,6.2,70,11.7,5.1,0,,0,0.0,0,116.7,W
1,Irv Smith Jr.,MIN,4,4,7,1,1,-2,-0.5,9,2.3,-0.5,0,,0,0.0,0,118.7,W
2,Adam Thielen,MIN,8,4,36,1,3,28,7.0,8,2.0,11.1,0,,0,0.0,0,102.1,W
3,K.J. Osborn,MIN,5,3,18,0,,13,4.3,5,1.7,4.6,0,,0,0.0,0,67.1,W
4,Johnny Mundt,MIN,2,2,1,0,,-2,-1.0,3,1.5,-1.0,0,,0,0.0,0,79.2,W
5,Dalvin Cook,MIN,1,1,6,0,0,2,2.0,4,4.0,2.0,0,,0,0.0,0,91.7,W
6,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,W
7,Tyreek Hill,MIA,15,12,177,0,9,107,8.9,70,5.8,12.1,0,,1,6.7,0,115.8,W
8,Mike Gesicki,MIA,7,6,69,2,6,47,7.8,22,3.7,10.9,0,,0,0.0,0,147.3,W
9,Jaylen Waddle,MIA,10,6,129,0,3,62,10.3,67,11.2,11.1,0,,1,10.0,1,64.6,W
10,Chase Edmonds,MIA,2,2,28,0,,8,4.0,20,10.0,4.0,1,2.0,0,0.0,0,118.7,W
11,Alec Ingold,MIA,2,2,10,0,0,5,2.5,5,2.5,2.5,0,,0,0.0,0,87.5,W
12,Raheem Mostert,MIA,2,1,-1,0,0,-1,-1.0,0,0.0,2.0,0,,0,0.0,0,56.2,W
13,Trent Sherfield,MIA,4,1,6,0,,6,6.0,0,0.0,6.3,0,,0,0.0,1,0.0,W
14,Tanner Conner,MIA,2,0,0,0,,0,,0,,6.0,0,,1,50.0,0,39.6,W
15,River Cracraft,MIA,1,0,0,0,,0,,0,,3.0,0,,0,0.0,0,39.6,W
0,Justin Jefferson,MIN,16,10,193,1,8,161,16.1,32,3.2,13.2,1,10.0,1,6.3,1,99.2,W
1,T.J. Hockenson,MIN,10,7,45,0,2,30,4.3,15,2.1,5.1,1,7.0,1,10.0,0,79.2,W
2,Adam Thielen,MIN,7,5,49,0,2,38,7.6,11,2.2,10.1,0,,0,0.0,0,90.8,W
3,K.J. Osborn,MIN,11,4,35,0,1,19,4.8,16,4.0,9.5,0,,0,0.0,1,7.8,W
4,Dalvin Cook,MIN,5,3,27,0,1,-2,-0.7,29,9.7,-0.6,1,3.0,1,20.0,0,74.6,W
5,Alexander Mattison,MIN,1,1,8,0,0,-4,-4.0,12,12.0,-4.0,0,,0,0.0,0,100.0,W
