,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W/L
5,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
6,Leonard Fournette,TAM,3,-3,0,0,-3,-1.0,0,0.0,0,,W
7,Rachaad White,TAM,3,6,1,2,4,1.3,2,0.7,0,,W
0,Travis Etienne,JAX,11,45,0,2,34,3.1,11,1.0,0,,W
1,Trevor Lawrence,JAX,4,26,0,1,25,6.3,1,0.3,0,,W
2,Jamycal Hasty,JAX,1,4,0,,4,4.0,0,0.0,0,,W
3,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
4,Isiah Pacheco,KAN,16,82,0,4,52,3.3,30,1.9,0,,W
5,Patrick Mahomes,KAN,7,39,0,2,39,5.6,0,0.0,0,,W
6,Kadarius Toney,KAN,2,33,0,1,33,16.5,0,0.0,0,,W
7,Michael Burton,KAN,1,-1,0,,-1,-1.0,0,0.0,0,,W
8,Jerick McKinnon,KAN,1,2,0,0,2,2.0,0,0.0,0,,W
0,Isiah Pacheco,KAN,15,107,0,4,83,5.5,24,1.6,0,,W
1,Jerick McKinnon,KAN,6,24,0,1,17,2.8,7,1.2,0,,W
2,Patrick Mahomes,KAN,4,23,0,1,23,5.8,0,0.0,0,,W
3,Clyde Edwards-Helaire,KAN,2,9,0,1,8,4.0,1,0.5,0,,W
4,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
5,Austin Ekeler,LAC,19,83,1,3,56,2.9,27,1.4,0,,W
6,Justin Herbert,LAC,5,17,0,3,12,2.4,5,1.0,0,,W
7,Isaiah Spiller,LAC,4,11,0,1,5,1.3,6,1.5,0,,W
8,Zander Horvath,LAC,1,3,0,1,3,3.0,0,0.0,0,,W
9,Sony Michel,LAC,1,1,0,1,1,1.0,0,0.0,0,,W
