,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,W/L
9,Marquez Valdes-Scantling,KAN,8,6,90,0,5,66,11.0,24,4.0,10.6,0,,1,12.5,0,111.5,W
10,Mecole Hardman,KAN,5,4,73,0,2,40,10.0,33,8.3,12.2,1,4.0,0,0.0,0,118.7,W
11,Clyde Edwards-Helaire,KAN,4,3,20,0,2,5,1.7,15,5.0,2.3,1,3.0,0,0.0,0,85.4,W
12,JuJu Smith-Schuster,KAN,8,3,33,0,2,21,7.0,12,4.0,7.5,0,,1,12.5,0,50.5,W
13,Jerick McKinnon,KAN,3,2,19,0,1,2,1.0,17,8.5,1.3,0,,0,0.0,0,84.0,W
14,Skyy Moore,KAN,3,2,15,0,,-7,-3.5,22,11.0,-2.0,0,,0,0.0,0,78.5,W
15,Noah Gray,KAN,2,1,7,0,,-3,-3.0,10,10.0,2.0,0,,0,0.0,0,58.3,W
16,Justin Watson,KAN,1,1,10,0,1,5,5.0,5,5.0,5.0,0,,0,0.0,0,108.3,W
0,Stefon Diggs,BUF,13,10,148,1,8,96,9.6,52,5.2,8.7,0,,0,0.0,0,139.3,L
1,Devin Singletary,BUF,5,4,22,0,2,1,0.3,21,5.3,0.2,0,,0,0.0,0,85.0,L
2,Gabriel Davis,BUF,6,3,74,1,3,65,21.7,9,3.0,16.5,0,,0,0.0,0,134.7,L
3,Reggie Gilliam,BUF,3,3,18,0,1,2,0.7,16,5.3,0.7,0,,0,0.0,0,91.7,L
4,Dawson Knox,BUF,3,3,37,1,2,35,11.7,2,0.7,11.7,0,,0,0.0,0,157.6,L
5,Isaiah McKenzie,BUF,5,2,9,0,,7,3.5,2,1.0,5.8,0,,0,0.0,0,47.9,L
6,Tommy Sweeney,BUF,1,1,7,0,1,-1,-1.0,8,8.0,-1.0,0,,0,0.0,0,95.8,L
7,Khalil Shakir,BUF,2,1,14,0,1,4,4.0,10,10.0,1.0,0,,0,0.0,0,72.9,L
8,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,L
9,Travis Kelce,KAN,10,8,108,0,6,74,9.3,34,4.3,9.2,1,8.0,0,0.0,0,111.7,L
10,JuJu Smith-Schuster,KAN,5,5,113,1,4,35,7.0,78,15.6,7.0,1,5.0,0,0.0,0,158.3,L
11,Jerick McKinnon,KAN,3,3,29,0,1,-2,-0.7,31,10.3,-0.7,0,,0,0.0,0,106.9,L
12,Mecole Hardman,KAN,4,3,42,1,3,24,8.0,18,6.0,5.0,0,,0,0.0,0,147.9,L
13,Noah Gray,KAN,3,3,13,0,,6,2.0,7,2.3,2.0,0,,0,0.0,0,84.7,L
14,Isiah Pacheco,KAN,2,2,9,0,1,-9,-4.5,18,9.0,-4.5,0,,0,0.0,0,85.4,L
15,Skyy Moore,KAN,3,1,24,0,1,11,11.0,13,13.0,7.0,0,,0,0.0,1,23.6,L
16,Michael Burton,KAN,1,0,0,0,,0,,0,,-5.0,0,,1,100.0,0,39.6,L
17,Marquez Valdes-Scantling,KAN,3,0,0,0,,0,,0,,7.0,0,,0,0.0,1,0.0,L
18,Justin Watson,KAN,1,0,0,0,,0,,0,,22.0,0,,0,0.0,0,39.6,L
0,Austin Ekeler,LAC,10,9,55,0,2,-25,-2.8,80,8.9,-2.5,3,3.0,1,10.0,0,89.6,W
1,Mike Williams,LAC,10,8,113,1,4,106,13.3,7,0.9,13.4,0,,0,0.0,0,147.1,W
2,Gerald Everett,LAC,10,6,71,0,2,22,3.7,49,8.2,3.6,1,6.0,0,0.0,1,42.1,W
3,Josh Palmer,LAC,8,4,30,1,3,17,4.3,13,3.3,6.1,0,,1,12.5,0,99.0,W
