,Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,W/L
19,Eric Kendricks,MIN,0,5,4,80.0%,20,5.0,4.0,0,83.3,0.8,3,17,0,0,0,0.0,0,2,1,33.3%,L
20,Jordan Hicks,MIN,0,2,2,100.0%,72,36.0,36.0,1,158.3,12.5,25,47,1,0,0,0.0,0,7,1,12.5%,L
21,Za'Darius Smith,MIN,0,1,1,100.0%,10,10.0,10.0,0,108.3,-5.0,-5,15,0,1,0,0.0,1,1,1,50.0%,L
22,Harrison Smith,MIN,0,1,1,100.0%,12,12.0,12.0,0,116.7,12.0,12,0,0,0,0,0.0,0,7,0,0.0%,L
23,Patrick Jones II,MIN,0,1,1,100.0%,11,11.0,11.0,0,112.5,0.0,0,11,7,0,0,0.0,0,5,0,0.0%,L
24,Josh Metellus,MIN,0,1,1,100.0%,-2,-2.0,-2.0,0,79.2,-3.0,-3,1,0,0,0,0.0,0,1,0,0.0%,L
25,Troy Dye,MIN,0,2,1,50.0%,14,14.0,7.0,0,72.9,-3.0,-1,15,0,0,0,0.0,0,1,0,0.0%,L
26,Camryn Bynum,MIN,0,1,1,100.0%,8,8.0,8.0,0,100.0,7.0,7,1,0,0,0,0.0,0,8,0,0.0%,L
27,Danielle Hunter,MIN,0,0,0,,,,,,,,,,0,0,1,0.0,1,4,0,0.0%,L
28,Chandon Sullivan,MIN,0,1,0,0.0%,,,0.0,,39.6,9.0,,,0,0,0,0.0,0,2,0,0.0%,L
