,Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,W/L
17,Jake Hansen,HOU,0,4,4,100.0%,59,14.8,14.8,1,158.3,5.0,20,39,1,0,0,0.0,0,2,0,0.0%,W
18,Jalen Pitre,HOU,0,4,3,75.0%,26,8.7,6.5,0,91.7,17.3,23,3,1,0,0,0.0,0,13,0,0.0%,W
19,Jerry Hughes,HOU,0,2,2,100.0%,13,6.5,6.5,0,93.7,-3.0,-6,19,0,0,0,0.0,0,1,1,50.0%,W
20,Jonathan Owens,HOU,0,2,2,100.0%,11,5.5,5.5,0,89.6,4.0,8,3,0,0,0,0.0,0,7,0,0.0%,W
21,Desmond King,HOU,0,2,1,50.0%,8,8.0,4.0,0,60.4,12.5,6,2,1,0,0,0.0,0,4,0,0.0%,W
22,Thomas Booker,HOU,0,1,1,100.0%,13,13.0,13.0,0,118.7,-2.0,-2,15,0,0,0,0.0,0,2,1,33.3%,W
23,Blake Cashman,HOU,0,0,0,,,,,,,,,,2,0,0,1.0,1,2,0,0.0%,W
24,Tavierre Thomas,HOU,0,1,0,0.0%,,,0.0,,39.6,25.0,,,2,0,0,0.0,0,3,0,0.0%,W
0,L'Jarius Sneed,KAN,0,6,4,66.7%,23,5.8,3.8,0,73.6,1.5,-11,34,3,0,2,1.0,3,8,0,0.0%,W
1,Rashad Fenton,KAN,0,5,4,80.0%,42,10.5,8.4,0,101.7,9.4,31,11,0,0,0,0.0,0,5,0,0.0%,W
2,Nick Bolton,KAN,0,4,3,75.0%,20,6.7,5.0,0,85.4,4.0,10,10,3,1,0,0.0,1,10,1,9.1%,W
3,Willie Gay Jr.,KAN,0,4,3,75.0%,20,6.7,5.0,0,85.4,5.3,5,15,2,0,0,0.0,0,5,2,28.6%,W
4,Justin Reid,KAN,0,2,2,100.0%,29,14.5,14.5,0,118.7,15.0,30,-1,1,0,0,0.0,0,4,0,0.0%,W
5,Trent McDuffie,KAN,0,2,1,50.0%,24,24.0,12.0,0,93.7,15.0,23,1,0,0,0,0.0,0,1,0,0.0%,W
6,Elijah Lee,KAN,0,1,1,100.0%,22,22.0,22.0,0,118.7,-5.0,-5,27,0,0,0,0.0,0,1,1,50.0%,W
7,Derrick Nnadi,KAN,0,1,1,100.0%,8,8.0,8.0,0,100.0,2.0,2,6,3,0,0,0.0,0,0,0,,W
8,Chris Lammons,KAN,0,1,1,100.0%,10,10.0,10.0,0,108.3,6.0,6,4,0,0,0,0.0,0,1,0,0.0%,W
9,Darius Harris,KAN,0,2,1,50.0%,6,6.0,3.0,1,95.8,5.0,5,1,0,0,0,0.0,0,1,0,0.0%,W
10,Khalen Saunders,KAN,0,1,1,100.0%,8,8.0,8.0,0,100.0,8.0,8,0,0,0,0,0.0,0,2,0,0.0%,W
11,Juan Thornhill,KAN,0,3,1,33.3%,10,10.0,3.3,0,43.7,23.7,2,8,0,0,0,0.0,0,1,1,50.0%,W
12,Jaylen Watson,KAN,0,2,1,50.0%,6,6.0,3.0,1,95.8,14.0,6,0,0,0,0,0.0,0,2,0,0.0%,W
13,Bryan Cook,KAN,0,1,1,100.0%,4,4.0,4.0,0,83.3,3.0,3,1,0,0,0,0.0,0,1,1,50.0%,W
14,Joshua Williams,KAN,0,2,1,50.0%,2,2.0,1.0,0,56.2,6.5,2,0,0,0,0,0.0,0,1,0,0.0%,W
15,Carlos Dunlap,KAN,0,0,0,,,,,,,,,,3,3,1,1.0,5,4,0,0.0%,W
16,Chris Jones,KAN,0,0,0,,,,,,,,,,9,5,0,0.0,5,1,0,0.0%,W
17,George Karlaftis III,KAN,0,0,0,,,,,,,,,,8,4,1,0.0,5,1,1,50.0%,W
18,Tershawn Wharton,KAN,0,0,0,,,,,,,,,,2,0,2,1.0,3,1,2,66.7%,W
19,Frank Clark,KAN,0,0,0,,,,,,,,,,8,3,0,0.0,3,1,0,0.0%,W
20,Michael Danna,KAN,0,0,0,,,,,,,,,,4,2,0,0.0,2,2,1,33.3%,W
21,Leo Chenal,KAN,0,1,0,0.0%,,,0.0,,39.6,4.0,,,0,0,0,0.0,0,0,0,,W
22,Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,W
